clean_name,obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name,alternate_names,PROPOSERS,IDS,Name,Desig,Family,CSource,Class,DiamSource,DiamFlag,Diam,HSource,H,HBand,GSource,G,AlbSource,AlbFlag,Albedo,PFlag,Period,PerDesc,AmpFlag,AmpMin,AmpMax,U,Notes,Pole,IsBinary,WideField,SparseData,NotesEx,Private
65223,TROJAN (65223),6,200057828,200058001,174,NA,asteroid-Trojan,-65223,TROJAN (65223),2002 EU34|65223,Ryan,GO6025,2002 EU34,2002 EU34,TR-J,A,C,C,-,17.6,M,12.5,V,M,0.15,A,-,0.057,-,260,-,-,0.34,0.44,2+,H,-,N,N,Y,N,N
65227,TROJAN (65227),6,200058002,200058179,178,NA,asteroid-Trojan,-65227,TROJAN (65227),2002 ES46|65227,Ryan,GO6025,2002 ES46,2002 ES46,TR-J,A,C,C,-,17.6,M,12.5,V,M,0.15,A,-,0.057,-,7.066,-,-,0.07,0.13,1,H,-,N,N,Y,N,N
65240,TROJAN (65240),6,200058180,200058562,383,NA,asteroid-Trojan,-65240,TROJAN (65240),2002 EU106|65240,Ryan,GO6025,2002 EU106,2002 EU106,TR-J,A,C,C,-,16.05,M,12.7,V,M,0.15,A,-,0.057,-,230,-,-,0.09,0.22,1,H,-,N,N,Y,N,N
65257,TROJAN (65257),6,200058563,200059040,478,NA,asteroid-Trojan,-65257,TROJAN (65257),2002 FU36|65257,Ryan,GO6025,2002 FU36,2002 FU36,TR-J,A,C,C,-,27.9,M,11.5,V,M,0.15,A,-,0.057,-,17.83,-,-,0.5,0.53,3-,H,-,N,N,Y,N,N
76820,Asteroid.Trojan.76820,14,200181013,200181123,111,NA,asteroid-Trojan,76820,Asteroid.Trojan.76820,2000 RW105|76820,Ryan,GO14085,2000 RW105,2000 RW105,TR-J,A,C,C,-,19.3,M,12.3,V,M,0.15,A,-,0.057,-,-9.99,-,-,-9.99,0.91,-,I,-,N,N,N,N,N
80806,TNO.80806,14,200181221,200181722,502,NA,TNO,80806,TNO.80806,2000 CM105|80806,Grundy,GO14073,2000 CM105,2000 CM105,TNO,A,C,C,-,201.15,M,6.6,V,M,0.15,A,-,0.1,-,-9.99,-,<,-9.99,0.14,-,H,B,N,N,N,N,N
8241,TROJAN (8241),6,200059317,200059550,234,NA,asteroid-Trojan,-8241,TROJAN (8241),1973 SE1|8241|Agrius,Ryan,GO6025,Agrius,1973 SE1,TR-J,A,C,C,-,32.03,M,11.2,V,M,0.15,A,-,0.057,-,17.89,-,-,0.23,0.28,2+,H,-,N,N,Y,N,N
83984,TROJAN (83984),6,200059551,200059879,329,NA,asteroid-Trojan,-83984,TROJAN (83984),2002 GL77|83984,Ryan,GO6025,2002 GL77,2002 GL77,TR-J,A,C,C,-,19.3,M,12.3,V,M,0.15,A,-,0.057,-,5.752,-,-,0.08,0.16,1,H,-,N,N,Y,N,N
88227,TROJAN (88227),6,200060227,200060504,278,NA,asteroid-Trojan,-88227,TROJAN (88227),2001 BU42|88227,Ryan,GO6025,2001 BU42,2001 BU42,TR-J,A,C,C,-,21.16,M,12.1,V,M,0.15,A,-,0.057,-,6.355,-,-,0.16,0.26,1,H,-,N,N,Y,N,N
88241,TROJAN (88241),6,200060505,200060772,268,NA,asteroid-Trojan,-88241,TROJAN (88241),2001 CD23|88241,Ryan,GO6025,2001 CD23,2001 CD23,TR-J,A,C,C,-,18.43,M,12.4,V,M,0.15,A,-,0.057,-,5.734,-,-,-9.99,0.1,2-,H,-,N,N,Y,N,N
9807,TROJAN (9807),6,200060773,200060802,30,NA,asteroid-Trojan,-9807,TROJAN (9807),1997 SJ4|9807,Ryan,GO6025,1997 SJ4,1997 SJ4,TR-J,A,C,C,-,29.21,M,11.4,V,M,0.15,A,-,0.057,-,346,-,-,0.4,0.43,2,H,-,N,N,Y,N,N
